team,current,Strength,pyth_Strength,SOS,pyth_SOS,Confidence,pyth_Confidence,Confidence_Delta,true_power,offensive_edge,suppression_resistance,home_run_reliance,homer_per_game,game_homer_rate,team_home_run_rate,away_hr_rate
LAD,1.236521480658667,1.2351719337416185,1.3413648365144732,0.9921389665868411,0.7833299567798424,1.2290635295320784,1.3050793652833412,-0.0760158357512628,1.1891959739777356,1.2320653974981672,1.1463265504573037,0.410828025477707,1.3833333333333333,0.65,1.4516129032258065,1.096774193548387
SEA,1.1643505903410847,1.1705558451379094,1.1692138986742275,1.0985027564887078,1.164529051713568,1.1968834119698455,1.2412833689616474,-0.04439995699180188,1.119355996185465,1.0950297733081586,1.1436822190627716,0.5155038759689923,1.278688524590164,0.6885245901639344,1.393939393939394,1.0303030303030303
NYY,1.1119627078668122,1.1261780031534752,1.2705983929947022,0.9309693229961558,0.7887741331605599,1.1037699392746672,1.2287629008519554,-0.12499296157728823,1.053748439568369,1.0133534903700554,1.0941433887666825,0.43934426229508194,1.4576271186440677,0.7457627118644068,1.692307692307692,0.9615384615384616
MIL,1.2343087379671707,1.2419144821176578,1.1789830084982673,0.9647036955450833,0.9269727530531415,1.2275994653976476,1.1733956715817262,0.05420379381592144,0.9390826470778597,0.8285474492988981,1.0496178448568212,0.2535211267605634,0.7017543859649122,0.49122807017543857,0.8387096774193549,0.8387096774193549
ATL,1.232376089287256,1.173927119325929,1.2484585627436124,0.8390947673436194,0.6600779208539739,1.1236315264578924,1.1617021229542472,-0.0380705964963548,1.0117557473391874,0.8912113977051105,1.1323000969732642,0.3987341772151899,1.4,0.7,1.037037037037037,0.8518518518518519
AZ,1.0668308700282076,1.0848437529031079,1.0912090309487987,1.0937475440028863,1.1587015921206816,1.1111483601337409,1.1532435288536855,-0.042095168719944676,1.0907919075463561,1.1872897562124123,0.9942940588803001,0.352059925093633,0.8813559322033898,0.5423728813559322,0.9655172413793103,1.0689655172413792
WSH,1.0850279662611129,1.1076845387894034,1.1102569254753099,1.0766733790443994,1.0439350089551227,1.1285814914979175,1.1362631756657018,-0.007681684167784253,1.1464282351709816,1.1360675652367287,1.1567889051052347,0.4110429447852761,1.278688524590164,0.6885245901639344,1.3666666666666667,1.6333333333333333
CWS,1.1696350306929282,1.108136192747607,1.1346283073624872,1.104944412662209,0.8923861108982067,1.1373705659529387,1.1129781932510894,0.024392372701849352,1.1513231568359723,0.9599494144380887,1.342696899233856,0.4804270462633452,1.3833333333333333,0.6666666666666666,1.3870967741935485,0.967741935483871
TOR,1.0932253843334077,1.0463805792125205,1.0792035266411137,0.8450350376184689,1.022472350151536,0.9998928447806648,1.0948753581254294,-0.0949825133447646,0.8866096215995107,0.8863820821964473,0.886837161002574,0.35655737704918034,0.9333333333333333,0.5666666666666667,1.0333333333333334,1.0666666666666667
PHI,1.0786836759252147,1.130662433913011,1.0180557506231296,1.1921892415931243,1.2052676133231235,1.18528581534774,1.0879106048817382,0.09737521046600173,1.030424863370863,1.1161237280550234,0.9447259986867028,0.46956521739130436,1.2203389830508475,0.7457627118644068,1.3,0.9333333333333333
